"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV679","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",NA
"ASV885","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","desiccabilis"
"ASV1001","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas",NA
"ASV1140","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter",NA
"ASV1531","Bacteria","Deinococcus-Thermus","Deinococci","Trueperales","Trueperaceae","Truepera",NA
"ASV1887","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae",NA,NA
"ASV2053","Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6",NA,NA,NA
"ASV7","Bacteria",NA,NA,NA,NA,NA,NA
"ASV227","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",NA
"ASV241","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","parainfluenzae"
"ASV243","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA
"ASV267","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_Incertae_Sedis_XI","Gemella",NA
"ASV272","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"ASV298","Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Streptophyta",NA,NA
"ASV302","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV337","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","sanguinis"
"ASV459","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Anoxybacillus",NA
"ASV481","Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Streptophyta",NA,NA
"ASV490","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium",NA
"ASV534","Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Streptophyta",NA,NA
"ASV696","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria",NA
"ASV796","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA
"ASV861","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","komagatae"
"ASV892","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Anaerococcus","murdochii"
"ASV1097","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Ornithinimicrobium",NA
"ASV1119","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV1140","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter",NA
"ASV1184","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"ASV1206","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV1266","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus",NA
"ASV1396","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV1422","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium",NA
"ASV2139","Archaea","Thaumarchaeota","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera",NA,NA
"ASV6","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Sediminibacterium",NA
"ASV10","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV15","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia",NA
"ASV17","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae",NA,NA
"ASV18","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter","aerosaccus"
"ASV19","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV20","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_incertae_sedis","Acidibacter",NA,NA
"ASV22","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA
